fecha;estacion004;estacion008;estacion011;estacion035;estacion038;estacion039;estacion047;estacion048;estacion049;estacion050
09/26/2017;48.0;58.0;41.0;35.0;49.0;42.0;42.0;31.0;31.0;36.0
09/27/2017;68.0;85.0;65.0;44.0;64.0;74.0;63.0;54.0;49.0;62.0
09/28/2017;76.0;103.0;84.0;49.0;82.0;85.0;71.0;68.0;61.0;74.0
09/29/2017;75.0;91.0;71.0;57.0;70.0;78.0;70.0;61.0;55.0;70.0
09/30/2017;74.0;82.0;58.0;75.0;66.0;64.0;60.0;53.0;52.0;55.0
10/01/2017;36.0;37.0;16.0;39.0;29.0;26.0;12.0;20.0;17.0
10/02/2017;52.0;60.0;38.0;54.0;51.0;49.0;32.0;35.0;37.0
10/03/2017;57.0;65.0;58.0;53.0;53.0;59.0;53.0;48.0;38.0;53.0
10/04/2017;47.0;56.0;52.0;47.0;46.0;55.0;38.0;34.0;29.0;37.0
10/05/2017;79.0;91.0;82.0;72.0;73.0;89.0;72.0;64.0;52.0;71.0
10/06/2017;62.0;60.0;36.0;65.0;51.0;41.0;41.0;24.0;29.0;31.0
10/07/2017;58.0;68.0;54.0;60.0;55.0;48.0;41.0;29.0;29.0;35.0
10/08/2017;62.0;74.0;68.0;65.0;57.0;70.0;63.0;53.0;48.0;57.0
10/09/2017;80.0;82.0;72.0;84.0;73.0;76.0;77.0;58.0;47.0;53.0
10/10/2017;88.0;87.0;92.0;85.0;70.0;79.0;82.0;72.0;50.0;66.0
10/11/2017;100.0;115.0;102.0;96.0;97.0;103.0;95.0;97.0;71.0;87.0
10/12/2017;92.0;102.0;84.0;94.0;90.0;92.0;82.0;69.0;62.0;59.0
10/13/2017;77.0;81.0;61.0;79.0;60.0;71.0;72.0;56.0;46.0;55.0
10/14/2017;74.0;92.0;77.0;76.0;73.0;77.0;65.0;65.0;53.0;62.0
10/15/2017;63.0;63.0;40.0;60.0;41.0;50.0;51.0;42.0;40.0;32.0
10/16/2017;53.0;64.0;58.0;54.0;46.0;59.0;44.0;45.0;34.0;42.0
